license,license_family,project_type,distribution_model,usage,risk,reason
AGPL-3.0,Strong Copyleft,cloud analytics platform,hosted,backend engine,High,Cloud-hosted AGPL software may trigger network copyleft clauses
GPL-2.0,Strong Copyleft,open-source desktop app,distributed,library,Low,Open-source distribution aligns better with GPL obligations
EPL-2.0,Weak Copyleft,financial enterprise software,distributed,framework,Medium,EPL obligations may affect modified components
Custom License,Unknown,AI commercial platform,hosted,ML framework,High,Custom AI license terms require manual compliance review
MIT,Permissive,commercial SaaS,hosted,API service,Low,MIT license is permissive and suitable for hosted commercial systems
MIT,Permissive,AI research platform,distributed,ML library,Low,MIT license creates minimal redistribution obligations
Apache-2.0,Permissive,enterprise cloud platform,hosted,backend framework,Low,Apache license allows commercial cloud deployment
Apache-2.0,Permissive,mobile SDK,distributed,SDK integration,Low,Apache license is compatible with many commercial mobile applications
BSD-3-Clause,Permissive,robotics software,distributed,control library,Low,BSD license allows flexible commercial redistribution
BSD-2-Clause,Permissive,medical software,distributed,utility package,Low,BSD-2-Clause creates minimal compliance burden
GPL-3.0,Strong Copyleft,commercial ERP system,distributed,core library,High,GPL obligations may conflict with proprietary ERP distribution
GPL-2.0,Strong Copyleft,embedded Linux firmware,distributed,kernel module,High,GPL kernel-related distribution may require source disclosure
GPL-3.0,Strong Copyleft,commercial IDE,distributed,plugin framework,High,GPL plugin integration may impose copyleft obligations
AGPL-3.0,Strong Copyleft,online analytics SaaS,hosted,backend engine,High,AGPL may require source disclosure for network users
AGPL-3.0,Strong Copyleft,AI inference platform,hosted,model serving framework,High,AGPL cloud deployment may trigger network copyleft clauses
LGPL-2.1,Weak Copyleft,desktop CAD software,distributed,dynamic library,Medium,LGPL allows proprietary use under dynamic linking conditions
LGPL-3.0,Weak Copyleft,commercial game engine,distributed,rendering library,Medium,LGPL usage requires compliance with relinking conditions
MPL-2.0,Weak Copyleft,web browser extension,distributed,extension framework,Medium,MPL requires modified files to remain open-source
EPL-2.0,Weak Copyleft,banking middleware,distributed,messaging framework,Medium,EPL obligations apply to modified components
CDDL-1.0,Weak Copyleft,storage platform,distributed,filesystem module,Medium,CDDL imposes file-level sharing obligations
Proprietary,Restricted,commercial AI product,distributed,third-party SDK,High,Proprietary SDK redistribution may violate licensing terms
Custom License,Unknown,AI chatbot platform,hosted,LLM framework,High,Custom AI framework license requires legal review
Unknown,Unknown,commercial drone software,distributed,navigation library,High,Unknown license creates uncertainty and compliance risk
MIT,Permissive,educational LMS platform,hosted,web framework,Low,MIT license is widely accepted in educational software
Apache-2.0,Permissive,DevOps automation platform,hosted,automation framework,Low,Apache license supports enterprise DevOps deployment
GPL-3.0,Strong Copyleft,commercial POS system,distributed,UI framework,High,GPL UI framework may require source disclosure obligations
LGPL-2.1,Weak Copyleft,commercial SaaS analytics,hosted,shared library,Low,Hosted SaaS reduces LGPL distribution concerns
MPL-2.0,Weak Copyleft,cybersecurity monitoring tool,distributed,agent framework,Medium,MPL requires disclosure of modified MPL files
BSD-3-Clause,Permissive,scientific computing toolkit,distributed,numerical library,Low,BSD license is suitable for scientific redistribution
AGPL-3.0,Strong Copyleft,cloud CRM platform,hosted,workflow engine,High,AGPL cloud usage may trigger network copyleft obligations
GPL-2.0,Strong Copyleft,open-source desktop editor,distributed,text processing library,Low,Open-source distribution aligns with GPL requirements
EPL-2.0,Weak Copyleft,insurance processing system,distributed,business rules engine,Medium,EPL modified modules may require source availability
Custom License,Unknown,commercial ML platform,hosted,training framework,High,Custom ML licensing terms require manual compliance analysis
Unlicense,Public Domain,research automation tool,distributed,script utility,Low,Public domain style licensing creates minimal compliance obligations
CC0-1.0,Public Domain,AI dataset repository,distributed,data archive,Low,CC0 removes most copyright restrictions for datasets
