package,version,ecosystem,package_manager,license,license_family,dependency_scope,direct_or_transitive,is_dev_dependency,project_type,distribution_model,usage,linking_type,network_exposed,commercial_use,attribution_notice,license_text,source_modified,redistribution,license_confidence,risk,reason
java-package-low-18,3.17.21,java,maven,BSD-2-Clause,Permissive,optional,direct,yes,healthcare portal,hosted,core library,dynamic,yes,yes,preserved,included,no,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-19,3.16.29,go,go-mod,MIT,Permissive,build,direct,yes,embedded firmware,hosted,data processing module,dynamic,yes,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-20,1.18.19,go,go-mod,MIT,Permissive,runtime,direct,no,DevOps automation platform,distributed,plugin framework,service,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-21,3.10.29,java,maven,Apache-2.0,Permissive,runtime,direct,no,mobile application,hosted,workflow engine,static,yes,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-22,1.11.9,python,pip,BSD-3-Clause,Permissive,build,transitive,no,commercial SaaS platform,internal-only,messaging framework,service,yes,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-23,0.17.4,python,pip,BSD-3-Clause,Permissive,test,transitive,yes,DevOps automation platform,hosted,model serving framework,service,yes,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-24,5.13.26,python,pip,MIT,Permissive,test,direct,yes,DevOps automation platform,hosted,model serving framework,service,no,yes,preserved,included,possible,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-25,4.0.3,rust,cargo,CC0-1.0,Public Domain,runtime,direct,yes,robotics control system,internal-only,workflow engine,static,no,yes,preserved,included,no,no,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-26,0.11.6,java,maven,BSD-3-Clause,Permissive,build,direct,no,online education platform,internal-only,automation library,static,no,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-27,1.10.25,python,pip,BSD-2-Clause,Permissive,optional,direct,no,embedded firmware,internal-only,backend framework,unknown,no,yes,preserved,included,no,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-28,2.9.26,rust,cargo,Apache-2.0,Permissive,build,direct,yes,AI inference platform,distributed,API service,service,no,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-29,3.17.10,go,go-mod,Unlicense,Public Domain,runtime,direct,no,embedded firmware,internal-only,SDK integration,dynamic,no,yes,preserved,included,possible,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-30,3.19.16,java,maven,BSD-3-Clause,Permissive,runtime,transitive,yes,banking middleware,hosted,automation library,unknown,no,yes,preserved,included,possible,possible,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-31,2.13.2,node,npm,Unlicense,Public Domain,test,transitive,yes,healthcare portal,internal-only,SDK integration,unknown,no,yes,preserved,included,no,possible,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-32,1.6.13,go,go-mod,BSD-3-Clause,Permissive,optional,direct,no,industrial IoT platform,internal-only,messaging framework,dynamic,no,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-33,4.20.10,go,go-mod,BSD-2-Clause,Permissive,optional,transitive,no,AI inference platform,internal-only,frontend component,static,yes,yes,preserved,included,no,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-34,2.2.26,go,go-mod,CC0-1.0,Public Domain,build,transitive,yes,AI inference platform,hosted,core library,dynamic,no,yes,preserved,included,no,possible,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-35,3.20.18,rust,cargo,MIT,Permissive,build,transitive,no,industrial IoT platform,hosted,shared library,dynamic,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-36,3.1.17,go,go-mod,Apache-2.0,Permissive,build,direct,no,desktop application,distributed,model serving framework,service,no,yes,preserved,included,possible,possible,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-37,4.14.28,rust,cargo,CC0-1.0,Public Domain,build,transitive,no,banking middleware,hosted,messaging framework,service,yes,yes,preserved,included,no,possible,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-38,3.2.22,java,maven,Apache-2.0,Permissive,test,direct,no,DevOps automation platform,distributed,visualization library,dynamic,no,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-39,5.6.2,node,npm,BSD-2-Clause,Permissive,optional,transitive,no,financial reporting system,distributed,core library,static,no,yes,preserved,included,no,possible,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-40,4.12.15,python,pip,Unlicense,Public Domain,runtime,transitive,no,industrial IoT platform,distributed,workflow engine,static,no,yes,preserved,included,no,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-41,0.12.10,rust,cargo,BSD-2-Clause,Permissive,optional,direct,no,desktop application,internal-only,workflow engine,dynamic,no,yes,preserved,included,possible,possible,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-42,0.20.13,python,pip,Unlicense,Public Domain,build,transitive,yes,commercial closed-source software,distributed,utility package,service,no,yes,preserved,included,no,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-43,2.13.8,rust,cargo,BSD-3-Clause,Permissive,runtime,transitive,yes,commercial closed-source software,distributed,plugin framework,dynamic,yes,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-44,0.19.4,node,npm,Apache-2.0,Permissive,build,direct,no,mobile application,internal-only,plugin framework,unknown,yes,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-45,4.3.24,go,go-mod,Apache-2.0,Permissive,build,transitive,yes,commercial SaaS platform,distributed,data processing module,unknown,no,yes,preserved,included,possible,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-46,5.20.7,go,go-mod,MIT,Permissive,runtime,transitive,yes,commercial closed-source software,distributed,workflow engine,unknown,yes,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-47,0.13.26,java,maven,CC0-1.0,Public Domain,optional,direct,no,robotics control system,internal-only,visualization library,unknown,yes,yes,preserved,included,no,no,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-48,5.8.19,go,go-mod,Apache-2.0,Permissive,optional,transitive,no,banking middleware,distributed,messaging framework,static,no,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-49,4.19.21,rust,cargo,Apache-2.0,Permissive,optional,transitive,yes,cybersecurity monitoring tool,distributed,shared library,unknown,no,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-50,4.8.17,java,maven,BSD-3-Clause,Permissive,runtime,direct,yes,cloud CRM platform,internal-only,utility package,unknown,yes,yes,preserved,included,no,possible,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-51,3.0.2,rust,cargo,BSD-2-Clause,Permissive,test,direct,no,cloud CRM platform,distributed,model serving framework,service,no,yes,preserved,included,possible,possible,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-52,5.17.10,rust,cargo,BSD-3-Clause,Permissive,test,transitive,no,healthcare portal,distributed,plugin framework,dynamic,yes,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-53,5.5.6,go,go-mod,MIT,Permissive,build,transitive,no,healthcare portal,hosted,messaging framework,static,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-54,0.17.4,java,maven,Apache-2.0,Permissive,test,direct,yes,healthcare portal,internal-only,shared library,unknown,no,yes,preserved,included,no,possible,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-55,3.14.10,rust,cargo,BSD-3-Clause,Permissive,build,direct,no,cybersecurity monitoring tool,hosted,messaging framework,dynamic,no,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-56,1.4.25,python,pip,CC0-1.0,Public Domain,test,direct,yes,mobile application,internal-only,embedded library,unknown,yes,yes,preserved,included,possible,possible,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-57,3.14.29,go,go-mod,Apache-2.0,Permissive,optional,transitive,no,healthcare portal,internal-only,data processing module,dynamic,yes,yes,preserved,included,possible,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-58,2.2.5,node,npm,Apache-2.0,Permissive,build,direct,yes,embedded firmware,hosted,utility package,unknown,yes,yes,preserved,included,possible,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-59,1.9.22,python,pip,BSD-3-Clause,Permissive,test,transitive,yes,cloud CRM platform,distributed,embedded library,static,no,yes,preserved,included,no,possible,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-60,2.4.2,node,npm,Apache-2.0,Permissive,runtime,direct,no,healthcare portal,distributed,backend framework,unknown,yes,yes,preserved,included,no,possible,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-61,4.17.15,java,maven,BSD-2-Clause,Permissive,optional,direct,yes,online education platform,internal-only,API service,service,no,yes,preserved,included,no,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-62,4.0.24,go,go-mod,Unlicense,Public Domain,test,direct,yes,cybersecurity monitoring tool,internal-only,model serving framework,unknown,no,yes,preserved,included,no,possible,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-63,0.15.11,rust,cargo,BSD-2-Clause,Permissive,optional,transitive,no,mobile application,hosted,API service,unknown,yes,yes,preserved,included,no,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-64,4.1.14,rust,cargo,Unlicense,Public Domain,runtime,transitive,no,DevOps automation platform,hosted,embedded library,unknown,yes,yes,preserved,included,no,possible,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-65,3.1.6,rust,cargo,CC0-1.0,Public Domain,test,transitive,no,commercial closed-source software,hosted,SDK integration,static,no,yes,preserved,included,no,possible,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-66,0.20.19,python,pip,BSD-2-Clause,Permissive,build,direct,no,commercial SaaS platform,internal-only,utility package,dynamic,no,yes,preserved,included,no,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-67,3.9.16,node,npm,MIT,Permissive,test,transitive,no,cybersecurity monitoring tool,hosted,frontend component,static,no,yes,preserved,included,no,possible,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-68,0.8.24,node,npm,CC0-1.0,Public Domain,optional,transitive,no,commercial SaaS platform,distributed,automation library,service,yes,yes,preserved,included,possible,possible,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-69,3.17.15,node,npm,BSD-2-Clause,Permissive,test,transitive,no,financial reporting system,distributed,messaging framework,static,yes,yes,preserved,included,no,possible,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-70,3.1.10,node,npm,BSD-2-Clause,Permissive,optional,transitive,no,desktop application,distributed,core library,static,yes,yes,preserved,included,possible,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-71,0.16.29,rust,cargo,MIT,Permissive,optional,direct,yes,online education platform,internal-only,shared library,dynamic,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-72,5.2.27,rust,cargo,CC0-1.0,Public Domain,test,transitive,no,cybersecurity monitoring tool,internal-only,core library,dynamic,no,yes,preserved,included,possible,possible,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-73,5.2.13,node,npm,BSD-3-Clause,Permissive,runtime,direct,no,embedded firmware,internal-only,SDK integration,dynamic,no,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-74,2.13.4,java,maven,BSD-3-Clause,Permissive,build,transitive,yes,embedded firmware,hosted,backend framework,unknown,yes,yes,preserved,included,possible,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-75,1.7.14,go,go-mod,BSD-2-Clause,Permissive,test,transitive,no,commercial SaaS platform,distributed,visualization library,service,yes,yes,preserved,included,possible,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-76,2.18.9,rust,cargo,MIT,Permissive,optional,transitive,no,healthcare portal,hosted,utility package,unknown,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-77,4.9.22,java,maven,CC0-1.0,Public Domain,test,direct,no,banking middleware,hosted,data processing module,dynamic,yes,yes,preserved,included,possible,no,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-78,4.11.7,node,npm,BSD-3-Clause,Permissive,build,transitive,yes,mobile application,internal-only,model serving framework,dynamic,no,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-79,5.4.2,java,maven,CC0-1.0,Public Domain,test,transitive,no,embedded firmware,hosted,shared library,service,yes,yes,preserved,included,possible,no,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-80,3.9.23,java,maven,Apache-2.0,Permissive,test,direct,no,enterprise analytics platform,hosted,embedded library,static,yes,yes,preserved,included,possible,possible,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-81,2.2.25,go,go-mod,BSD-2-Clause,Permissive,optional,direct,no,mobile application,distributed,API service,service,yes,yes,preserved,included,no,possible,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-82,5.7.15,python,pip,BSD-3-Clause,Permissive,runtime,transitive,yes,enterprise analytics platform,internal-only,messaging framework,unknown,yes,yes,preserved,included,no,possible,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-83,1.1.30,python,pip,BSD-2-Clause,Permissive,runtime,transitive,no,mobile application,hosted,plugin framework,static,no,yes,preserved,included,no,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-84,3.18.23,go,go-mod,Unlicense,Public Domain,build,transitive,yes,cybersecurity monitoring tool,internal-only,utility package,service,no,yes,preserved,included,possible,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-85,3.7.27,rust,cargo,Apache-2.0,Permissive,test,direct,no,robotics control system,hosted,utility package,service,no,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-86,5.20.19,node,npm,MIT,Permissive,runtime,direct,no,cloud CRM platform,hosted,embedded library,static,no,yes,preserved,included,possible,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-87,1.10.24,node,npm,CC0-1.0,Public Domain,build,direct,no,desktop application,hosted,workflow engine,service,no,yes,preserved,included,no,possible,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-88,0.11.25,node,npm,MIT,Permissive,build,transitive,yes,embedded firmware,distributed,core library,static,yes,yes,preserved,included,no,possible,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-89,3.14.24,python,pip,MIT,Permissive,test,direct,no,cloud CRM platform,internal-only,core library,service,no,yes,preserved,included,possible,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-90,3.13.21,rust,cargo,MIT,Permissive,runtime,transitive,no,enterprise analytics platform,hosted,API service,static,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-91,4.10.12,go,go-mod,CC0-1.0,Public Domain,test,transitive,no,mobile application,internal-only,backend framework,static,no,yes,preserved,included,no,no,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-92,3.12.13,java,maven,BSD-2-Clause,Permissive,runtime,transitive,no,DevOps automation platform,internal-only,SDK integration,service,no,yes,preserved,included,possible,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-93,0.2.13,python,pip,MIT,Permissive,runtime,transitive,yes,commercial closed-source software,internal-only,workflow engine,service,yes,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-94,5.1.30,rust,cargo,BSD-3-Clause,Permissive,test,transitive,no,mobile application,internal-only,workflow engine,static,no,yes,preserved,included,possible,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-95,2.17.11,python,pip,Apache-2.0,Permissive,runtime,transitive,yes,online education platform,internal-only,embedded library,dynamic,yes,yes,preserved,included,possible,possible,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-96,1.8.22,python,pip,BSD-3-Clause,Permissive,test,transitive,no,commercial SaaS platform,hosted,messaging framework,static,yes,yes,preserved,included,possible,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-97,5.20.0,node,npm,MIT,Permissive,runtime,direct,no,online education platform,distributed,API service,static,no,yes,preserved,included,no,possible,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-98,4.2.28,go,go-mod,BSD-3-Clause,Permissive,runtime,direct,yes,commercial closed-source software,internal-only,backend framework,service,no,yes,preserved,included,possible,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-99,3.13.8,go,go-mod,BSD-2-Clause,Permissive,build,direct,no,online education platform,hosted,SDK integration,unknown,yes,yes,preserved,included,possible,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-100,3.19.1,node,npm,MIT,Permissive,runtime,direct,no,AI inference platform,hosted,embedded library,service,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-101,5.13.5,rust,cargo,MIT,Permissive,build,transitive,yes,robotics control system,hosted,utility package,dynamic,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-102,4.13.18,java,maven,MIT,Permissive,optional,transitive,no,mobile application,distributed,core library,service,no,yes,preserved,included,possible,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-103,0.13.27,java,maven,Unlicense,Public Domain,runtime,direct,no,industrial IoT platform,internal-only,backend framework,unknown,no,yes,preserved,included,possible,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-104,1.2.16,java,maven,Apache-2.0,Permissive,runtime,direct,no,robotics control system,internal-only,messaging framework,static,no,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-105,1.19.4,node,npm,BSD-3-Clause,Permissive,runtime,direct,no,financial reporting system,internal-only,embedded library,unknown,yes,yes,preserved,included,possible,possible,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-106,2.20.10,go,go-mod,Unlicense,Public Domain,build,transitive,yes,cybersecurity monitoring tool,distributed,model serving framework,service,no,yes,preserved,included,possible,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-107,0.9.14,go,go-mod,BSD-3-Clause,Permissive,optional,direct,yes,robotics control system,distributed,backend framework,dynamic,yes,yes,preserved,included,possible,possible,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-108,4.17.30,rust,cargo,BSD-2-Clause,Permissive,runtime,transitive,yes,DevOps automation platform,internal-only,frontend component,static,no,yes,preserved,included,no,no,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-109,4.20.5,python,pip,BSD-3-Clause,Permissive,runtime,direct,no,financial reporting system,internal-only,workflow engine,static,no,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-110,2.19.1,rust,cargo,BSD-2-Clause,Permissive,test,direct,no,mobile application,internal-only,model serving framework,unknown,no,yes,preserved,included,no,possible,high,Low,BSD-2-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-111,1.10.2,go,go-mod,Unlicense,Public Domain,build,transitive,no,industrial IoT platform,hosted,data processing module,dynamic,no,yes,preserved,included,possible,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-112,1.16.2,java,maven,Unlicense,Public Domain,optional,transitive,yes,robotics control system,distributed,shared library,static,no,yes,preserved,included,no,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-113,1.2.9,node,npm,Apache-2.0,Permissive,runtime,direct,no,desktop application,internal-only,utility package,static,no,yes,preserved,included,no,possible,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-114,5.14.1,node,npm,CC0-1.0,Public Domain,optional,transitive,yes,financial reporting system,internal-only,SDK integration,unknown,no,yes,preserved,included,possible,no,high,Low,CC0-1.0 is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-115,1.11.21,rust,cargo,BSD-3-Clause,Permissive,optional,transitive,no,industrial IoT platform,internal-only,workflow engine,unknown,no,yes,preserved,included,no,possible,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-116,0.20.15,java,maven,Apache-2.0,Permissive,test,direct,yes,healthcare portal,hosted,embedded library,static,no,yes,preserved,included,no,possible,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-117,0.7.26,rust,cargo,Apache-2.0,Permissive,optional,transitive,yes,online education platform,hosted,utility package,service,no,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
